Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,206000,0.05,0.1,0.1,1180,1180,1.2,0,10,10,10,10,1,1,1,1,1,1
2,243000,0.05,0.1,0.1,1190,1190,1.2,0,10,10,10,10,1,1,1,1,1,1
3,227000,0.05,0.1,0.1,1190,1190,1.2,0,10,10,10,10,1,1,1,1,1,1
4,211000,0.05,0.1,0.1,1180,1180,1.2,0,10,10,10,10,1,1,1,1,1,1
5,195000,0.05,0.1,0.1,1160,1160,1.2,0,10,10,10,10,1,1,1,1,1,1
6,178000,0.05,0.1,0.1,1140,1140,1.2,0,10,10,10,10,1,1,1,1,1,1
7,142000,0.05,0.1,0.1,1110,1110,1.2,0,10,10,10,10,1,1,1,1,1,1
8,149000,0.05,0.1,0.1,1070,1070,1.2,0,10,10,10,10,1,1,1,1,1,1
9,149000,0.05,0.1,0.1,1020,1020,1.2,0,10,10,10,10,1,1,1,1,1,1
10,149000,0.05,0.1,0.1,970,970,1.2,0,10,10,10,10,1,1,1,1,1,1
11,42000,0.05,0.1,0.1,290,450,1.2,0,10,10,10,10,1,1,1,1,1,1
